💝中国港澳👉全网,#genre#
凤凰中文,http://dns.yiandrive.com:16813/phenix/fhzw
凤凰资讯,http://dns.yiandrive.com:16813/phenix/fhzx
凤凰香港,http://dns.yiandrive.com:16813/phenix/fhhk
凤凰资讯,http://59.127.17.227:8576/http/61.67.128.137:8078/hls/20/80/phoenixif.m3u8
凤凰中文,http://59.127.17.227:8577/http/61.67.128.137:8078/hls/21/80/phoenixch.m3u8
凤凰中文,http://203.205.220.214:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://203.205.220.214:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://203.205.220.214:80/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
TVB翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
TVB星河,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
爆谷台http://205.185.123.236:8899/1/baogutai/stream.m3u8
星影台http://205.185.123.236:8899/1/now/stream.m3u8
星河台http://205.185.123.236:8899/tvb/xinghe/stream.m3u8
千禧经典台http://205.185.123.236:8899/astro/qianxi/stream.m3u8
TVB生活台 http://205.185.123.236:8899/tvb/Finance/stream.m3u8
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港备,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
无线新闻,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
无线新闻,http://zsntlqj.xicp.net:8896/bysid/83.m3u8
无线翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
无线翡翠,http://cdn2.1689.us.kg/live/?id=gdfct
无线翡翠,http://php.jdshipin.com/smt.php?id=jade_twn
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线华丽,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线华丽频粤,http://v2h.jdshipin.com/jade2/jade.stream/chunklist.m3u8
无线直播,http://v2h.jdshipin.com/liveshow/liveshow.stream/chunklist.m3u8
无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist.m3u8
无线生活,http://v2h.jdshipin.com/finance2/finance2.stream/chunklist.m3u8
无线生活,https://www.mytvsuper.xyz/tvb/shenghuo/stream.m3u8
无线生活,http://205.185.123.236:8899/tvb/Finance/stream.m3u8
无线星河粤,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist.m3u8
无线星河国,https://www.mytvsuper.xyz/tvb/xinghe/stream.m3u8
无线星河国,http://205.185.123.236:8899/tvb/xinghe/stream.m3u8
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
无线星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
千禧经典,https://www.mytvsuper.xyz/astro/qianxi/stream.m3u8
千禧经典,http://205.185.123.236:8899/astro/qianxi/stream.m3u8
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
千禧经典,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
Now爆谷,https://www.mytvsuper.xyz/1/baogutai/stream.m3u8
Now爆谷,http://205.185.123.236:8899/1/baogutai/stream.m3u8
Now星影,https://www.mytvsuper.xyz/1/now/stream.m3u8
Now星影,http://205.185.123.236:8899/1/now/stream.m3u8
美亚电影频粤,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
动作电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy
家庭影院,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy
影迷电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
Astv亚洲卫视,https://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8
GBN新闻英,http://103.193.151.158:8500/live.m3u8?c=18
NHK新闻英,http://61.221.215.25:8800/hls/51/index.m3u8
💝AKTV频道👉全网,#genre#
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
Hoy 78,http://aktv.top/AKTV/live/aktv/hoy78/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
无线新闻台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亚电影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
千禧经典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
娱乐新闻台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
黄金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
TVB 星河台,http://aktv.top/AKTV/live/aktv2/tvb/AKTV.m3u8
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
爆谷台,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
28 AI 智慧赛马,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
Animax-HK,http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8
C+台,http://aktv.top/AKTV/live/aktv3/c/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
KIX,http://aktv.top/AKTV/live/aktv3/kix/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
Nick Jr,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
Nickelodeon,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv3/rockaction/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
亚洲新闻台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
东方卫视国际频道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
无线卫星新闻台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
神州新闻台,http://aktv.top/AKTV/live/aktv3/null-1/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新闻台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
中天亚洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天新闻台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中视,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
寰宇新闻台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
华视,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天电影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
