
📡央卫频道,#genre#

凤凰资讯,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-10000k-1080P-fhzixun5s
凤凰中文,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-10000k-1080P-fhchinese5s
凤凰香港,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-10000k-1080P-fhhongkong5s

凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8

凤凰香港,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
凤凰香港,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰香港,http://zhibo.hkstv.tv/livestream/mutfysrq.flv


凤凰中文,http://220.188.229.181:9999/udp/233.50.200.191:5140
凤凰资讯,http://220.188.229.181:9999/udp/233.50.200.192:5140

凤凰中文,http://60.176.120.163:55555/udp/233.50.200.191:5140
凤凰资讯,http://60.176.120.163:55555/udp/233.50.200.192:5140

凤凰中文,http://183.130.46.157:8808/udp/233.50.200.191:5140
凤凰资讯,http://183.130.46.157:8808/udp/233.50.200.192:5140


凤凰中文,http://36.22.226.201:9999/udp/233.50.200.191:5140
凤凰资讯,http://36.22.226.201:9999/udp/233.50.200.192:5140

环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8

CCTV1,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-1-CQ

CCTV2,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-2-CQ

CCTV3,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-3-CQ

CCTV4,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-4-CQ

CCTV5,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-5-CQ

CCTV5+,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-5PLUS-CQ

CCTV6,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-6-CQ

CCTV7,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-7-CQ

CCTV8,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-8-CQ

CCTV9,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-9-CQ

CCTV10,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-10-CQ

CCTV11,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-11-CQ

CCTV12,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-12-CQ

CCTV13,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-13-CQ

CCTV14,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-14-CQ

CCTV15,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-15-CQ

CCTV16,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-16-CQ

CCTV17,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-17-CQ

CGTN英语,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CCTV-NEWS

CGTN俄语,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CGTN-PYCCNN

CGTN西语,http://d1.x-y-z.sbs:80/小凯影视交流/DL.php?id=G_CGTN-ESPANOL

